,发帖日期,帖子总数量,积极帖子数量,中立帖子数量,消极帖子数量,帖子平均阅读量,帖子平均评论量,帖子平均点赞量,积极帖子平均阅读量,积极帖子平均评论量,积极帖子平均点赞量,中立帖子平均阅读量,中立帖子平均评论量,中立帖子平均点赞量,消极帖子平均阅读量,消极帖子平均评论量,消极帖子平均点赞量
153,2021-4-4,17,1,2,14,722.69,2.69,1.13,509.0,1.0,3.0,627.0,2.0,2.0,656.93,2.86,0.93
154,2021-4-5,23,10,3,10,790.43,3.04,2.22,679.2,2.2,3.6,952.0,4.0,1.0,853.2,3.6,1.2
155,2021-4-6,121,49,8,64,527.45,1.78,2.61,538.78,2.35,3.27,525.13,1.5,2.25,461.81,1.37,2.15
156,2021-4-7,132,40,12,80,516.2,1.76,1.28,332.2,1.15,1.0,530.83,3.75,2.0,552.51,1.77,1.32
157,2021-4-8,62,24,4,34,469.73,2.21,1.77,447.25,1.54,1.75,384.75,0.75,0.75,495.59,2.85,1.91
158,2021-4-9,54,20,8,26,535.96,1.98,2.21,499.11,1.32,2.47,498.13,2.75,2.0,459.46,2.23,2.08
159,2021-4-10,22,9,0,13,583.77,2.27,1.95,573.56,2.11,2.44,0.0,0.0,0.0,590.85,2.38,1.62
160,2021-4-11,25,7,4,14,629.44,2.08,3.36,723.0,3.71,4.43,527.75,0.75,3.0,611.71,1.64,2.93
161,2021-4-12,55,25,3,27,422.27,2.18,2.85,438.8,1.92,3.32,217.0,0.67,2.67,429.78,2.59,2.44
162,2021-4-13,74,24,12,38,448.95,1.99,3.15,441.61,2.0,2.3,468.83,3.42,2.92,356.32,1.53,3.74
163,2021-4-14,85,19,4,62,400.54,1.67,2.78,544.68,1.58,3.05,312.25,1.5,3.0,362.06,1.71,2.68
164,2021-4-15,82,23,4,55,441.63,1.76,1.7,574.52,3.05,1.45,265.33,0.33,0.33,398.25,1.36,1.87
165,2021-4-16,608,132,34,442,375.17,5.78,1.16,358.83,5.07,1.15,393.12,1.65,1.24,374.87,6.08,1.15
166,2021-4-17,587,118,54,415,523.5,2.6,1.44,581.06,3.35,1.33,546.75,3.16,1.43,506.42,2.32,1.48
167,2021-4-18,288,68,16,204,583.0,4.72,2.0,462.06,2.4,1.93,684.31,3.25,2.06,585.94,4.63,2.03
168,2021-4-19,542,125,43,374,510.29,4.51,2.79,524.84,2.82,2.88,492.33,3.4,3.05,507.56,5.53,2.73
169,2021-4-20,430,90,29,311,482.58,2.0,4.62,465.83,2.51,4.55,402.57,1.11,4.39,495.32,1.94,4.66
170,2021-4-21,388,113,27,248,521.58,2.51,3.35,410.07,2.42,3.35,291.89,1.11,2.74,560.44,2.7,3.42
171,2021-4-22,377,121,24,232,760.87,2.69,1.95,386.11,1.92,2.0,1106.91,3.14,1.82,480.48,1.95,1.93
172,2021-4-23,333,88,20,225,1370.91,2.75,2.24,622.01,3.03,2.59,523.65,3.85,2.4,1353.54,2.54,2.09
173,2021-4-24,148,35,14,99,732.17,2.98,2.52,623.26,2.37,3.34,337.64,0.57,1.36,826.46,3.54,2.39
174,2021-4-25,108,32,13,63,1654.75,18.98,4.53,917.41,3.84,4.84,1406.77,30.45,2.64,1689.77,6.03,4.7
175,2021-4-26,220,63,36,121,1175.27,2.48,2.66,413.43,2.35,2.79,520.81,2.33,2.58,1174.68,2.59,2.61
176,2021-4-27,291,83,31,177,1485.62,2.67,2.85,1234.31,2.33,2.86,401.13,2.06,2.97,1587.68,2.89,2.82
